"Distance [mm]","Mag_B [mTesla]"
"0.000000","15.9891455117"
"0.247423","16.2541270448"
"0.494846","16.5094181377"
"0.742270","16.7537448488"
"0.989693","16.9858042664"
"1.237116","17.2042740129"
"1.484539","17.4078232153"
"1.731962","17.5951249490"
"1.979386","17.7648701210"
"2.226809","17.9157827075"
"2.474232","18.0466362070"
"2.721655","18.1562711063"
"2.969078","18.2436130893"
"3.216502","18.3076916493"
"3.463925","18.3476586999"
"3.711348","18.3628067147"
"3.958771","18.3525858808"
"4.206195","18.3166197124"
"4.453618","18.2547185608"
"4.701041","18.1668904678"
"4.948464","18.0533488544"
"5.195887","17.9145166017"
"5.443311","17.7510261873"
"5.690734","17.5637156632"
"5.938157","17.3536204055"
"6.185580","17.1219607272"
"6.433003","16.8701256017"
"6.680427","16.5996529008"
"6.927850","16.3122066821"
"7.175273","16.0095521738"
"7.422696","15.6935291799"
"7.670119","15.3660246709"
"7.917543","15.0289453273"
"8.164966","14.6841907755"
"8.412389","14.3336281888"
"8.659812","13.9790688426"
"8.907235","13.6222471066"
"9.154659","13.2648022401"
"9.402082","12.9082632394"
"9.649505","12.5540368679"
"9.896928","12.2033988933"
"10.144351","11.8574884565"
"10.391775","11.5173054155"
"10.639198","11.1837104406"
"10.886621","10.8574275814"
"11.134044","10.5390489933"
"11.381467","10.2290414842"
"11.628891","9.9277545354"
"11.876314","9.6354294497"
"12.123737","9.3522092927"
"12.371160","9.0781493123"
"12.618584","8.8132275495"
"12.866007","8.5573553816"
"13.113430","8.3103877801"
"13.360853","8.0721330966"
"13.608276","7.8423622324"
"13.855700","7.6208170830"
"14.103123","7.4072181826"
"14.350546","7.2012715090"
"14.597969","7.0026744349"
"14.845392","6.8111208377"
"15.092816","6.6263054006"
"15.340239","6.4479271514"
"15.587662","6.2756922994"
"15.835085","6.1093164363"
"16.082508","5.9485261723"
"16.329932","5.7930602797"
"16.577355","5.6426704141"
"16.824778","5.4971214807"
"17.072201","5.3561917090"
"17.319624","5.2196724922"
"17.567048","5.0873680444"
"17.814471","4.9590949174"
"18.061894","4.8346814199"
"18.309317","4.7139669678"
"18.556740","4.5968013967"
"18.804164","4.4830442554"
"19.051587","4.3725641010"
"19.299010","4.2652378072"
"19.546433","4.1609498975"
"19.793857","4.0595919103"
"20.041280","3.9610618009"
"20.288703","3.8652633831"
"20.536126","3.7721058136"
"20.783549","3.6815031166"
"21.030973","3.5933737511"
"21.278396","3.5076402165"
"21.525819","3.4242286972"
"21.773242","3.3430687420"
"22.020665","3.2640929768"
"22.268089","3.1872368477"
"22.515512","3.1124383925"
"22.762935","3.0396380364"
"23.010358","2.9687784121"
"23.257781","2.8998041993"
"23.505205","2.8326619833"
"23.752628","2.7673001293"
"24.000051","2.7036686719"
"24.247474","2.6417192170"
"24.494897","2.5814048544"
