"Distance [mm]","Mag_B [mTesla]"
"0.000000","16.0878894291"
"0.247423","16.3279191860"
"0.494846","16.5554876924"
"0.742270","16.7693179993"
"0.989693","16.9681404997"
"1.237116","17.1507057953"
"1.484539","17.3157984441"
"1.731962","17.4622514150"
"1.979386","17.5889610429"
"2.226809","17.6949022378"
"2.474232","17.7791436714"
"2.721655","17.8408626347"
"2.969078","17.8793592416"
"3.216502","17.8940696403"
"3.463925","17.8845778906"
"3.711348","17.8506261761"
"3.958771","17.7921230386"
"4.206195","17.7091493558"
"4.453618","17.6019618267"
"4.701041","17.4709937834"
"4.948464","17.3168532129"
"5.195887","17.1403179423"
"5.443311","16.9423280165"
"5.690734","16.7239753753"
"5.938157","16.4864910102"
"6.185580","16.2312298545"
"6.433003","15.9596537221"
"6.680427","15.6733126632"
"6.927850","15.3738251475"
"7.175273","15.0628575109"
"7.422696","14.7421031156"
"7.670119","14.4132616684"
"7.917543","14.0780191302"
"8.164966","13.7380286134"
"8.412389","13.3948926297"
"8.659812","13.0501469947"
"8.907235","12.7052466433"
"9.154659","12.3615535436"
"9.402082","12.0203268379"
"9.649505","11.6827152732"
"9.896928","11.3497519236"
"10.144351","11.0223511508"
"10.391775","10.7013076971"
"10.639198","10.3872977632"
"10.886621","10.0808818835"
"11.134044","9.7825093865"
"11.381467","9.4925242061"
"11.628891","9.2111717975"
"11.876314","8.9386069095"
"12.123737","8.6749019664"
"12.371160","8.4200558232"
"12.618584","8.1740026748"
"12.866007","7.9366209188"
"13.113430","7.7077417974"
"13.360853","7.4871576686"
"13.608276","7.2746297861"
"13.855700","7.0698954960"
"14.103123","6.8726747829"
"14.350546","6.6826761276"
"14.597969","6.4996016575"
"14.845392","6.3231515962"
"15.092816","6.1530280291"
"15.340239","5.9889380239"
"15.587662","5.8305961472"
"15.835085","5.6777264313"
"16.082508","5.5300638480"
"16.329932","5.3873553467"
"16.577355","5.2493605169"
"16.824778","5.1158519298"
"17.072201","4.9866152147"
"17.319624","4.8614489175"
"17.567048","4.7401641873"
"17.814471","4.6225843304"
"18.061894","4.5085442670"
"18.309317","4.3978899196"
"18.556740","4.2904775594"
"18.804164","4.1861731302"
"19.051587","4.0848515687"
"19.299010","3.9863961319"
"19.546433","3.8906977453"
"19.793857","3.7976543765"
"20.041280","3.7071704422"
"20.288703","3.6191562498"
"20.536126","3.5335274787"
"20.783549","3.4502046990"
"21.030973","3.3691129298"
"21.278396","3.2901812356"
"21.525819","3.2133423585"
"21.773242","3.1385323859"
"22.020665","3.0656904503"
"22.268089","2.9947584602"
"22.515512","2.9256808585"
"22.762935","2.8584044069"
"23.010358","2.7928779943"
"23.257781","2.7290524660"
"23.505205","2.6668804723"
"23.752628","2.6063163346"
"24.000051","2.5473159267"
"24.247474","2.4898365699"
"24.494897","2.4338369406"
