"Distance [mm]","Mag_B [mTesla]"
"0.000000","38.1497301765"
"0.303030","34.4460290366"
"0.606061","31.2078536694"
"0.909091","28.3642448735"
"1.212121","25.8568732751"
"1.515152","23.6374735364"
"1.818182","21.6658653321"
"2.121212","19.9084113891"
"2.424242","18.3368051887"
"2.727273","16.9271100963"
"3.030303","15.6589921555"
"3.333333","14.5151033812"
"3.636364","13.4805829493"
"3.939394","12.5426514208"
"4.242424","11.6902788724"
"4.545455","10.9139121049"
"4.848485","10.2052493489"
"5.151515","9.5570533601"
"5.454545","8.9629957045"
"5.757576","8.4175265009"
"6.060606","7.9157650395"
"6.363636","7.4534075903"
"6.666667","7.0266494255"
"6.969697","6.6321186414"
"7.272727","6.2668198104"
"7.575758","5.9280858548"
"7.878788","5.6135368165"
"8.181818","5.3210444343"
"8.484848","5.0487016249"
"8.787879","4.7947961176"
"9.090909","4.5577876186"
"9.393939","4.3362879827"
"9.696970","4.1290439541"
"10.000000","3.9349221084"
"10.303030","3.7528956850"
"10.606061","3.5820330481"
"10.909091","3.4214875519"
"11.212121","3.2704886213"
"11.515152","3.1283338879"
"11.818182","2.9943822404"
"12.121212","2.8680476736"
"12.424242","2.7487938341"
"12.727273","2.6361291733"
"13.030303","2.5296026353"
"13.333333","2.4287998126"
"13.636364","2.3333395128"
"13.939394","2.2428706896"
"14.242424","2.1570696931"
"14.545455","2.0756378031"
"14.848485","1.9982990140"
"15.151515","1.9247980413"
"15.454545","1.8548985261"
"15.757576","1.7883814156"
"16.060606","1.7250434994"
"16.363636","1.6646960870"
"16.666667","1.6071638090"
"16.969697","1.5522835308"
"17.272727","1.4999033662"
"17.575758","1.4498817814"
"17.878788","1.4020867794"
"18.181818","1.3563951569"
"18.484848","1.3126918272"
"18.787879","1.2708692019"
"19.090909","1.2308266261"
"19.393939","1.1924698612"
"19.696970","1.1557106119"
"20.000000","1.1204660928"
"20.303030","1.0866586305"
"20.606061","1.0542152981"
"20.909091","1.0230675794"
"21.212121","0.9931510609"
"21.515152","0.9644051464"
"21.818182","0.9367727958"
"22.121212","0.9102002832"
"22.424242","0.8846369740"
"22.727273","0.8600351188"
"23.030303","0.8363496631"
"23.333333","0.8135380711"
"23.636364","0.7915601624"
"23.939394","0.7703779612"
"24.242424","0.7499555561"
"24.545455","0.7302589697"
"24.848485","0.7112560383"
"25.151515","0.6929162996"
"25.454545","0.6752108881"
"25.757576","0.6581124385"
"26.060606","0.6415949950"
"26.363636","0.6256339274"
"26.666667","0.6102058521"
"26.969697","0.5952885597"
"27.272727","0.5808609458"
"27.575758","0.5669029479"
"27.878788","0.5533954853"
"28.181818","0.5403204037"
"28.484848","0.5276604228"
"28.787879","0.5153990876"
"29.090909","0.5035207224"
"29.393939","0.4920103884"
"29.696970","0.4808538434"
"30.000000","0.4700375037"
