"Distance [mm]","Mag_B [mTesla]"
0,28.2435730040595
0.3,25.9067664483328
0.6,23.7807288013065
0.9,22.4734254299347
1.2,21.1411237033729
1.5,19.8072725049758
1.8,18.4703238371705
2.1,17.1290797197767
2.4,15.7826921900061
2.7,14.4306633024627
3,13.3679631800302
3.3,12.7024955760399
3.6,12.0020402800266
3.9,11.3180631948871
4.2,10.6502791675898
4.5,9.99839288340017
4.8,9.36209886588082
5.1,8.82570932967048
5.4,8.40834354561943
5.7,7.99853525874815
6,7.59622939198449
6.3,7.20136078022302
6.6,6.83162423096061
6.9,6.48881527796821
7.2,6.15705095227509
7.5,5.83607324508174
7.8,5.52560899104014
8.1,5.2253698682538
8.4,4.93505239827772
8.7,4.65433794611845
9,4.38289272023402
9.3,4.19449685988594
9.6,4.03671112085687
9.9,3.88397130181945
10.2,3.73623068728219
10.5,3.59344207999766
10.8,3.45555780096246
11.1,3.32252968941727
11.4,3.19430910284684
11.7,3.07084691697995
12,2.96090154196598
12.3,2.86532694710766
12.6,2.7701366864189
12.9,2.67529592824371
13.2,2.58076992293951
13.5,2.4865240028771
13.8,2.39252358244068
14.1,2.29873415802784
14.4,2.20512130804957
14.7,2.11165069293025
15,2.02436244328995
15.3,1.96345496720538
15.6,1.90294997108223
15.9,1.84286247812147
16.2,1.78321297869091
16.5,1.72402743032513
16.8,1.66533725772555
17.1,1.60717935276038
17.4,1.54959607446465
17.7,1.49263524904019
18,1.43635016985566
18.3,1.38079959744651
18.6,1.32683515772338
18.9,1.27715604745603
19.2,1.22875776393347
19.5,1.19072432563566
19.8,1.16731223151893
20.1,1.14421761778459
20.4,1.12144031818411
20.7,1.09898015838971
21,1.07683695599429
21.3,1.05501052051149
21.6,1.03350065337566
21.9,1.01230714794187
22.2,0.991429789485904
22.5,0.970868355204257
22.8,0.950622614214145
23.1,0.930692327553503
23.4,0.911077248180974
23.7,0.891777120975929
24,0.87279168273844
24.3,0.85412066218931
24.6,0.835763779970048
24.9,0.817720748642885
25.2,0.799991272690764
25.5,0.782575048517349
25.8,0.765471764447015
26.1,0.750216997573022
26.4,0.736332587466304
26.7,0.722669325907235
27,0.709228054205323
27.3,0.69600962010542
27.6,0.68301487778773
27.9,0.670244687867805
28.2,0.657699917396544
28.5,0.6453814398602
28.8,0.633290135180367
29.1,0.621426889713995
29.4,0.609792596253379
29.7,0.598388154026165
30,0.587214468695345
