"Distance [mm]","Mag_B [mTesla]"
"0.000000","24.6960521655"
"0.303030","22.9585965446"
"0.606061","21.3571720885"
"0.909091","19.8817232974"
"1.212121","18.5225809957"
"1.515152","17.2705593078"
"1.818182","16.1170132369"
"2.121212","15.0538667402"
"2.424242","14.0736192456"
"2.727273","13.1693368478"
"3.030303","12.3346330009"
"3.333333","11.5636423602"
"3.636364","10.8509905036"
"3.939394","10.1917615340"
"4.242424","9.5814650062"
"4.545455","9.0160031901"
"4.848485","8.4916393624"
"5.151515","8.0049675752"
"5.454545","7.5528841732"
"5.757576","7.1325612027"
"6.060606","6.7414217624"
"6.363636","6.3771172814"
"6.666667","6.0375066684"
"6.969697","5.7206372435"
"7.272727","5.4247273508"
"7.575758","5.1481505390"
"7.878788","4.8894211932"
"8.181818","4.6471815040"
"8.484848","4.4201896604"
"8.787879","4.2073091614"
"9.090909","4.0074991450"
"9.393939","3.8198056409"
"9.696970","3.6433536603"
"10.000000","3.4773400442"
"10.303030","3.3210269948"
"10.606061","3.1737362267"
"10.909091","3.0348436749"
"11.212121","2.9037747063"
"11.515152","2.7799997851"
"11.818182","2.6630305464"
"12.121212","2.5524162392"
"12.424242","2.4477405015"
"12.727273","2.3486184347"
"13.030303","2.2546939486"
"13.333333","2.1656373500"
"13.636364","2.0811431518"
"13.939394","2.0009280796"
"14.242424","1.9247292589"
"14.545455","1.8523025637"
"14.848485","1.7834211120"
"15.151515","1.7178738938"
"15.454545","1.6554645189"
"15.757576","1.5960100741"
"16.060606","1.5393400781"
"16.363636","1.4852955262"
"16.666667","1.4337280162"
"16.969697","1.3844989476"
"17.272727","1.3374787879"
"17.575758","1.2925463998"
"17.878788","1.2495884232"
"18.181818","1.2084987087"
"18.484848","1.1691777958"
"18.787879","1.1315324338"
"19.090909","1.0954751405"
"19.393939","1.0609237958"
"19.696970","1.0278012677"
"20.000000","0.9960350663"
"20.303030","0.9655570255"
"20.606061","0.9363030088"
"20.909091","0.9082126373"
"21.212121","0.8812290379"
"21.515152","0.8552986113"
"21.818182","0.8303708161"
"22.121212","0.8063979696"
"22.424242","0.7833350624"
"22.727273","0.7611395872"
"23.030303","0.7397713796"
"23.333333","0.7191924696"
"23.636364","0.6993669451"
"23.939394","0.6802608231"
"24.242424","0.6618419318"
"24.545455","0.6440797990"
"24.848485","0.6269455498"
"25.151515","0.6104118101"
"25.454545","0.5944526171"
"25.757576","0.5790433359"
"26.060606","0.5641605812"
"26.363636","0.5497821447"
"26.666667","0.5358869269"
"26.969697","0.5224548737"
"27.272727","0.5094669163"
"27.575758","0.4969049161"
"27.878788","0.4847516121"
"28.181818","0.4729905722"
"28.484848","0.4616061475"
"28.787879","0.4505834290"
"29.090909","0.4399082076"
"29.393939","0.4295669361"
"29.696970","0.4195466937"
"30.000000","0.4098351529"
