"Distance [mm]","Mag_B [mTesla]"
"0.000000","23.8324420619"
"0.303030","22.1403475124"
"0.606061","20.5864124468"
"0.909091","19.1589754894"
"1.212121","17.8472335865"
"1.515152","16.6412224089"
"1.818182","15.5317837402"
"2.121212","14.5105243527"
"2.424242","13.5697698026"
"2.727273","12.7025157101"
"3.030303","11.9023784072"
"3.333333","11.1635462979"
"3.636364","10.4807328621"
"3.939394","9.8491319156"
"4.242424","9.2643755019"
"4.545455","8.7224946131"
"4.848485","8.2198828091"
"5.151515","7.7532627120"
"5.454545","7.3196552903"
"5.757576","6.9163518043"
"6.060606","6.5408882593"
"6.363636","6.1910221980"
"6.666667","5.8647116602"
"6.969697","5.5600961348"
"7.272727","5.2754793384"
"7.575758","5.0093136585"
"7.878788","4.7601861094"
"8.181818","4.5268056620"
"8.484848","4.3079918134"
"8.787879","4.1026642799"
"9.090909","3.9098337000"
"9.393939","3.7285932499"
"9.696970","3.5581110795"
"10.000000","3.3976234867"
"10.303030","3.2464287558"
"10.606061","3.1038815938"
"10.909091","2.9693881032"
"11.212121","2.8424012374"
"11.515152","2.7224166909"
"11.818182","2.6089691800"
"12.121212","2.5016290737"
"12.424242","2.3999993424"
"12.727273","2.3037127901"
"13.030303","2.2124295429"
"13.333333","2.1258347693"
"13.636364","2.0436366080"
"13.939394","1.9655642842"
"14.242424","1.8913663948"
"14.545455","1.8208093474"
"14.848485","1.7536759378"
"15.151515","1.6897640517"
"15.454545","1.6288854809"
"15.757576","1.5708648414"
"16.060606","1.5155385849"
"16.363636","1.4627540937"
"16.666667","1.4123688536"
"16.969697","1.3642496948"
"17.272727","1.3182720966"
"17.575758","1.2743195497"
"17.878788","1.2322829706"
"18.181818","1.1920601630"
"18.484848","1.1535553234"
"18.787879","1.1166785859"
"19.090909","1.0813456027"
"19.393939","1.0474771586"
"19.696970","1.0149988143"
"20.000000","0.9838405781"
"20.303030","0.9539366028"
"20.606061","0.9252249055"
"20.909091","0.8976471081"
"21.212121","0.8711481982"
"21.515152","0.8456763071"
"21.818182","0.8211825044"
"22.121212","0.7976206071"
"22.424242","0.7749470037"
"22.727273","0.7531204898"
"23.030303","0.7321021162"
"23.333333","0.7118550470"
"23.636364","0.6923444289"
"23.939394","0.6735372680"
"24.242424","0.6554023167"
"24.545455","0.6379099675"
"24.848485","0.6210321538"
"25.151515","0.6047422586"
"25.454545","0.5890150278"
"25.757576","0.5738264902"
"26.060606","0.5591538832"
"26.363636","0.5449755820"
"26.666667","0.5312710346"
"26.969697","0.5180207006"
"27.272727","0.5052059941"
"27.575758","0.4928092295"
"27.878788","0.4808135719"
"28.181818","0.4692029900"
"28.484848","0.4579622114"
"28.787879","0.4470766818"
"29.090909","0.4365325259"
"29.393939","0.4263165110"
"29.696970","0.4164160125"
"30.000000","0.4068189820"
