"Distance [mm]","Mag_B [mTesla]"
0,28.918468066222
0.3,27.2205949005515
0.6,25.2886067108524
0.9,23.3704889145923
1.2,21.4687272077398
1.5,19.5880171288496
1.8,17.7352640590621
2.1,15.9195832221039
2.4,15.1623578168558
2.7,14.5894842334093
3,14.0426942709776
3.3,13.5224186797175
3.6,13.0291394931927
3.9,12.5633900283731
4.2,11.8691424649784
4.5,11.0183695884222
4.8,10.1959814440203
5.1,9.40206542304916
5.4,8.63675380631717
5.7,7.90022376416509
6,7.19269735646581
6.3,6.51444153262448
6.6,6.11674163340767
6.9,5.93155703754714
7.2,5.75136934229878
7.5,5.57640843932243
7.8,5.4068953163227
8.1,5.24304205704901
8.4,5.03905237670934
8.7,4.79327937415021
9,4.55257854954134
9.3,4.3171367264447
9.6,4.08716886185303
9.9,3.86291804618984
10.2,3.64465550330945
10.5,3.43268059049696
10.8,3.22732079846823
11.1,3.06330244203307
11.4,2.97179931092564
11.7,2.88236269393555
12,2.79498766370867
12.3,2.70967091698464
12.6,2.62641077459678
12.9,2.54520718147213
13.2,2.46606170663149
13.5,2.38897754318932
13.8,2.31395950835383
14.1,2.24101404342694
14.4,2.1701492138043
14.7,2.10137470897525
15,2.03470184252288
15.3,1.97026276811403
15.6,1.90844410525738
15.9,1.84840429982691
16.2,1.79013570730279
16.5,1.74000606912984
16.8,1.69960595785851
17.1,1.65992729091712
17.4,1.6209623352068
17.7,1.5827028950362
18,1.54514031212148
18.3,1.50826546558629
18.6,1.4720687719618
18.9,1.43654018518669
19.2,1.40166919660713
19.5,1.36744483497681
19.8,1.33385566645692
20.1,1.30088979461615
20.4,1.26853486043071
20.7,1.23677804228431
21,1.20560605596815
21.3,1.17500515468097
21.6,1.14488529329625
21.9,1.1152916414533
22.2,1.08646524763676
22.5,1.05840748518081
22.8,1.03111970807396
23.1,1.00460325095908
23.4,0.978859429133349
23.7,0.953889538548296
24,0.92969485580978
24.3,0.906276638177993
24.6,0.883636123567466
24.9,0.861774530547063
25.2,0.838683727311298
25.5,0.81593996714967
25.8,0.794316547373387
26.1,0.773804011080057
26.4,0.755884842242788
26.7,0.741561289080767
27,0.727532498196122
27.3,0.715631943595597
27.6,0.705677325915532
27.9,0.695826925854136
28.2,0.686080795090963
28.5,0.676438989288924
28.8,0.666901568094298
29.1,0.657468595136733
29.4,0.647805260397285
29.7,0.636919404696609
30,0.626121044220018
