"Distance [mm]","Mag_B [mTesla]"
"0.000000","224.0740740741"
"0.303030","193.2845659564"
"0.606061","167.8872442239"
"0.909091","146.7515308354"
"1.212121","129.0197838898"
"1.515152","114.0334171814"
"1.818182","101.2810192813"
"2.121212","90.3613684197"
"2.424242","80.9566993680"
"2.727273","72.8131329572"
"3.030303","65.7261795753"
"3.333333","59.5298833819"
"3.636364","54.0886100607"
"3.939394","49.2907753986"
"4.242424","45.0440135502"
"4.545455","41.2714235926"
"4.848485","37.9086310330"
"5.151515","34.9014704863"
"5.454545","32.2041456206"
"5.757576","29.7777585729"
"6.060606","27.5891274255"
"6.363636","25.6098297883"
"6.666667","23.8154249891"
"6.969697","22.1848182064"
"7.272727","20.6997380577"
"7.575758","19.3443053665"
"7.878788","18.1046755893"
"8.181818","16.9687410442"
"8.484848","15.9258819218"
"8.787879","14.9667572671"
"9.090909","14.0831288574"
"9.393939","13.2677122638"
"9.696970","12.5140504659"
"10.000000","11.8164062500"
"10.303030","11.1696703060"
"10.606061","10.5692824945"
"10.909091","10.0111641970"
"11.212121","9.4916600251"
"11.515152","9.0074874566"
"11.818182","8.5556932061"
"12.121212","8.1336153341"
"12.424242","7.7388502589"
"12.727273","7.3692239690"
"13.030303","7.0227668439"
"13.333333","6.6976915823"
"13.636364","6.3923738124"
"13.939394","6.1053350245"
"14.242424","5.8352275155"
"14.545455","5.5808210842"
"14.848485","5.3409912512"
"15.151515","5.1147088083"
"15.454545","4.9010305338"
"15.757576","4.6990909258"
"16.060606","4.5080948328"
"16.363636","4.3273108718"
"16.666667","4.1560655404"
"16.969697","3.9937379430"
"17.272727","3.8397550583"
"17.575758","3.6935874874"
"17.878788","3.5547456285"
"18.181818","3.4227762294"
"18.484848","3.2972592779"
"18.787879","3.1778051920"
"19.090909","3.0640522786"
"19.393939","2.9556644320"
"19.696970","2.8523290462"
"20.000000","2.7537551206"
"20.303030","2.6596715378"
"20.606061","2.5698254960"
"20.909091","2.4839810821"
"21.212121","2.4019179696"
"21.515152","2.3234302304"
"21.818182","2.2483252489"
"22.121212","2.1764227285"
"22.424242","2.1075537824"
"22.727273","2.0415600997"
"23.030303","1.9782931811"
"23.333333","1.9176136364"
"23.636364","1.8593905393"
"23.939394","1.8035008341"
"24.242424","1.7498287888"
"24.545455","1.6982654917"
"24.848485","1.6487083873"
"25.151515","1.6010608472"
"25.454545","1.5552317749"
"25.757576","1.5111352393"
"26.060606","1.4686901363"
"26.363636","1.4278198758"
"26.666667","1.3884520905"
"26.969697","1.3505183677"
"27.272727","1.3139539988"
"27.575758","1.2786977474"
"27.878788","1.2446916343"
"28.181818","1.2118807369"
"28.484848","1.1802130028"
"28.787879","1.1496390764"
"29.090909","1.1201121371"
"29.393939","1.0915877491"
"29.696970","1.0640237206"
"30.000000","1.0373799726"
