"Distance [mm]","Mag_B [mTesla]"
"0.000000","85.4162670719"
"0.303030","78.2972978150"
"0.606061","71.9131785783"
"0.909091","66.1719786668"
"1.212121","60.9956339098"
"1.515152","56.3174933572"
"1.818182","52.0803365848"
"2.121212","48.2347795068"
"2.424242","44.7379912683"
"2.727273","41.5526570540"
"3.030303","38.6461345776"
"3.333333","35.9897633225"
"3.636364","33.5582947713"
"3.939394","31.3294190474"
"4.242424","29.2833689206"
"4.545455","27.4025863612"
"4.848485","25.6714400497"
"5.151515","24.0759847118"
"5.454545","22.6037550375"
"5.757576","21.2435883946"
"6.060606","19.9854716724"
"6.363636","18.8204084708"
"6.666667","17.7403035370"
"6.969697","16.7378619018"
"7.272727","15.8065005962"
"7.575758","14.9402711861"
"7.878788","14.1337916398"
"8.181818","13.3821862770"
"8.484848","12.6810327375"
"8.787879","12.0263150630"
"9.090909","11.4143821176"
"9.393939","10.8419106803"
"9.696970","10.3058726353"
"10.000000","9.8035057642"
"10.303030","9.3322877087"
"10.606061","8.8899127288"
"10.909091","8.4742709317"
"11.212121","8.0834296849"
"11.515152","7.7156169654"
"11.818182","7.3692064248"
"12.121212","7.0427039802"
"12.424242","6.7347357607"
"12.727273","6.4440372609"
"13.030303","6.1694435715"
"13.333333","5.9098805693"
"13.636364","5.6643569657"
"13.939394","5.4319571228"
"14.242424","5.2118345550"
"14.545455","5.0032060481"
"14.848485","4.8053463287"
"15.151515","4.6175832308"
"15.454545","4.4392933073"
"15.757576","4.2698978426"
"16.060606","4.1088592265"
"16.363636","3.9556776532"
"16.666667","3.8098881139"
"16.969697","3.6710576550"
"17.272727","3.5387828752"
"17.575758","3.4126876400"
"17.878788","3.2924209920"
"18.181818","3.1776552393"
"18.484848","3.0680842054"
"18.787879","2.9634216247"
"19.090909","2.8633996718"
"19.393939","2.7677676116"
"19.696970","2.6762905591"
"20.000000","2.5887483398"
"20.303030","2.5049344409"
"20.606061","2.4246550466"
"20.909091","2.3477281486"
"21.212121","2.2739827268"
"21.515152","2.2032579929"
"21.818182","2.1354026923"
"22.121212","2.0702744598"
"22.424242","2.0077392226"
"22.727273","1.9476706499"
"23.030303","1.8899496414"
"23.333333","1.8344638556"
"23.636364","1.7811072707"
"23.939394","1.7297797787"
"24.242424","1.6803868082"
"24.545455","1.6328389740"
"24.848485","1.5870517522"
"25.151515","1.5429451770"
"25.454545","1.5004435599"
"25.757576","1.4594752273"
"26.060606","1.4199722772"
"26.363636","1.3818703512"
"26.666667","1.3451084230"
"26.969697","1.3096286004"
"27.272727","1.2753759410"
"27.575758","1.2422982800"
"27.878788","1.2103460687"
"28.181818","1.1794722244"
"28.484848","1.1496319892"
"28.787879","1.1207827988"
"29.090909","1.0928841584"
"29.393939","1.0658975277"
"29.696970","1.0397862127"
"30.000000","1.0145152632"
