"Distance [mm]","Mag_B [mTesla]"
0,105.458183104545
0.3,95.4658725850795
0.6,86.0842163618519
0.9,78.4626766935634
1.2,72.9654990872337
1.5,68.2655745520463
1.8,63.6466448043115
2.1,59.0791334825352
2.4,54.4998171382338
2.7,49.5901421249798
3,46.0640342444791
3.3,43.0134451118739
3.6,40.1212019972187
3.9,37.3793085315886
4.2,35.0414858634859
4.5,32.9505848418922
4.8,30.8904611472959
5.1,28.5515768236874
5.4,26.1894645160834
5.7,24.7741642969699
6,23.5807752906066
6.3,22.4093034696982
6.6,21.2605052532911
6.9,20.1352848279736
7.2,19.0346941478751
7.5,17.8189527254256
7.8,16.5982721503659
8.1,15.4101367006693
8.4,14.6011790247301
8.7,13.8770478345223
9,13.2747084670433
9.3,12.6880278147086
9.6,12.1169969185317
9.9,11.5616489088118
10.2,11.022059005134
10.5,10.4983445163688
10.8,9.99066484067295
11.1,9.49922146548848
11.4,9.02425796754347
11.7,8.56606001285161
12,8.10763255096832
12.3,7.64988113360189
12.6,7.20879649926951
12.9,6.85238991311173
13.2,6.58477473386262
13.5,6.3617584499769
13.8,6.13763441168163
14.1,5.90810235870224
14.4,5.67933113107928
14.7,5.45210556245748
15,5.2313784046125
15.3,5.0170636506011
15.6,4.80907968052801
15.9,4.60734926154594
16.2,4.41179954785556
16.5,4.22236208070551
16.8,4.03897278839245
17.1,3.86157198626096
17.4,3.6901043767036
17.7,3.52451904916093
18,3.36476948012145
18.3,3.21081353312166
18.6,3.13881865421863
18.9,3.06824547372469
19.2,2.99850874102344
19.5,2.92962190229035
19.8,2.86159968582665
20.1,2.78701247444716
20.4,2.70693970876047
20.7,2.62752208740296
21,2.54875666575147
21.3,2.47064069935006
21.6,2.39317164390986
21.9,2.3163471553092
22.2,2.24016508959354
22.5,2.16462350297545
22.8,2.0897206518347
23.1,2.01545499271817
23.4,1.94182518233989
23.7,1.86883007758104
24,1.79646873548994
24.3,1.72474041328206
24.6,1.65364456834001
24.9,1.58318085821354
25.2,1.51221776937097
25.5,1.43394795225971
25.8,1.35593665190423
26.1,1.2781949855361
26.4,1.22674647760378
26.7,1.20511941054653
27,1.18358846548127
27.3,1.16108771844843
27.6,1.1346197065749
27.9,1.10870364541569
28.2,1.08334021435881
28.5,1.05853028538018
28.8,1.03427492304367
29.1,1.01057538450104
29.4,0.987433119492011
29.7,0.964849770344202
30,0.942827171973167
