row,model,px,py,pz,ux,uy,uz,k,cost,nfev,status
0,biot,0.0004867856,0.0130516037,0.2183030620,0.0168019508,-0.4024928939,0.9152689030,0.9993346743,0.0000504903,5,1
1,biot,0.0321813936,0.0116603916,0.2195808985,0.0160914458,-0.4036903568,0.9147541534,0.9992867711,0.0000504114,5,1
2,biot,0.0640301904,0.0110962680,0.2198312582,0.0175421026,-0.4011917021,0.9158261258,0.9992902499,0.0000504642,5,1
3,biot,0.0959059019,0.0105062813,0.2189017755,0.0136857792,-0.4008910726,0.9160234972,0.9993495734,0.0000505115,5,1
4,biot,0.1271190614,0.0099939559,0.2171930035,0.0187665240,-0.4004426267,0.9161296416,0.9994527858,0.0000506225,5,1
5,biot,0.1639150868,0.0091127181,0.2192560509,0.0162893606,-0.4016233563,0.9156600550,0.9990261494,0.0000506207,6,1
6,biot,0.0010159118,0.0447831310,0.2186564097,0.0152165590,-0.4030859625,0.9150356076,0.9993323149,0.0000505357,5,1
7,biot,0.0327407695,0.0436052075,0.2200521650,0.0196387144,-0.4007830736,0.9159624713,0.9992825256,0.0000504173,5,1
8,biot,0.0645899216,0.0428772954,0.2203058557,0.0183234806,-0.4010067110,0.9158918429,0.9992858772,0.0000504187,5,1
9,biot,0.0964842362,0.0424136006,0.2194435716,0.0188081930,-0.3998702486,0.9163787624,0.9993472088,0.0000504745,5,1
10,biot,0.1276505968,0.0415658423,0.2177439227,0.0169622410,-0.4011770048,0.9158434873,0.9994551726,0.0000506244,5,1
11,biot,0.1643864568,0.0419430265,0.2201596528,0.0188744266,-0.3997437980,0.9164325682,0.9990545581,0.0000505181,6,1
12,biot,0.0018091566,0.0767348925,0.2182672689,0.0137635435,-0.4024312422,0.9153467431,0.9993862201,0.0000505180,5,1
13,biot,0.0334686658,0.0756310139,0.2194820880,0.0146571114,-0.4043691637,0.9144784024,0.9993386205,0.0000504945,5,1
14,biot,0.0650313892,0.0751591261,0.2196100679,0.0173471988,-0.4032748059,0.9149144800,0.9993433092,0.0000504854,5,1
15,biot,0.0968049137,0.0742133056,0.2188620864,0.0153715227,-0.4003936115,0.9162143156,0.9994007799,0.0000505509,5,1
16,biot,0.1280102859,0.0731401870,0.2171403130,0.0200977736,-0.4020587026,0.9153932921,0.9995017402,0.0000506407,5,1
17,biot,0.1644936740,0.0749535147,0.2193127757,0.0196808387,-0.4003630121,0.9161452522,0.9991358145,0.0000506358,6,1
18,biot,0.0004856383,0.1121704697,0.2231032462,0.0160797077,-0.4032375351,0.9149540607,0.9988777594,0.0000504656,6,1
19,biot,0.0341169101,0.1068895089,0.2182121877,0.0176594213,-0.4034226588,0.9148433217,0.9994447045,0.0000505895,5,1
20,biot,0.0656274866,0.1063693806,0.2182798486,0.0180102315,-0.4031646349,0.9149502220,0.9994498044,0.0000506102,5,1
21,biot,0.0971666695,0.1056239518,0.2174323983,0.0187366684,-0.3985805165,0.9169419333,0.9994997093,0.0000507062,5,1
22,biot,0.1327487344,0.1087410762,0.2206763673,0.0160555554,-0.4001249249,0.9163199570,0.9990857625,0.0000506520,6,1
