row,pos_error_mm,dir_error_deg
0,7.786283,0.010797
1,8.431027,0.006961
2,8.552249,0.008537
3,8.101763,0.013923
4,7.169093,0.018377
5,13.943127,0.051222
6,8.020304,0.016635
7,8.683363,0.014660
8,8.809447,0.015509
9,8.338806,0.018747
10,7.361870,0.021971
11,14.055498,0.056110
12,7.656229,0.022458
13,8.314331,0.022053
14,8.430144,0.022714
15,7.988605,0.024213
16,7.081311,0.025640
17,13.826119,0.062956
18,14.795145,0.059981
19,7.404852,0.027153
20,7.521185,0.027740
21,7.161825,0.028252
22,14.315038,0.066106
23,13.260635,0.069841
24,13.688880,0.070607
25,14.151168,0.070198
26,14.250249,0.070449
27,13.918816,0.072017
28,13.284490,0.073900
29,12.463233,0.075808
30,12.473765,0.079309
31,12.840314,0.078591
32,12.932425,0.078493
33,12.691619,0.079169
34,12.218789,0.079981
35,11.585012,0.080527
36,9.195736,0.012584
37,9.325662,0.005914
38,9.362967,0.006826
39,9.287222,0.014158
40,9.110052,0.022159
41,8.886769,0.030208
42,9.240120,0.018124
43,9.379336,0.013996
44,9.407420,0.014524
45,9.326672,0.019062
46,9.152788,0.025661
47,8.918883,0.032727
48,9.180812,0.025735
49,9.312397,0.022747
50,9.335717,0.023117
51,9.253647,0.026241
52,9.092575,0.031105
53,8.875518,0.037157
54,9.023546,0.034304
55,9.142616,0.031764
56,9.162741,0.031905
57,9.094270,0.033904
58,8.952928,0.037976
59,7.957613,0.038864
60,8.508997,0.041381
61,8.914230,0.041092
62,8.938501,0.040574
63,8.884339,0.042275
64,8.041521,0.041308
65,14.581032,0.085026
66,14.458172,0.090949
67,7.229292,0.041610
68,7.403554,0.041866
69,14.962285,0.089720
70,14.201985,0.088758
71,13.196283,0.086619
72,9.951230,0.013663
73,10.217330,0.005423
74,10.267799,0.005695
75,10.131272,0.014257
76,9.819793,0.022990
77,9.415431,0.031153
78,10.027236,0.019147
79,10.302745,0.014096
80,10.349306,0.014197
81,10.206453,0.019268
82,9.905969,0.026615
83,9.487615,0.033674
84,9.908388,0.027244
85,10.153590,0.024089
86,10.213079,0.024010
87,10.081382,0.027259
88,9.789659,0.032277
89,9.409095,0.038025
90,9.644769,0.035983
91,9.852186,0.033372
92,9.895515,0.033597
93,9.793843,0.035733
94,9.550641,0.039126
95,9.223492,0.043065
96,9.292516,0.044465
97,9.467959,0.042373
98,9.499394,0.042876
99,9.435674,0.043226
100,9.247459,0.045530
101,8.988153,0.048271
102,8.943945,0.052093
103,9.067832,0.050448
104,9.101639,0.050088
105,9.057377,0.050005
106,8.931696,0.050935
107,7.958498,0.047192
108,11.231976,0.017462
109,11.717961,0.006687
110,11.830167,0.005029
111,11.576099,0.016940
112,11.047469,0.027037
113,10.349036,0.034217
114,11.413563,0.023062
115,11.836488,0.016393
116,11.849758,0.015842
117,11.607895,0.023165
118,11.152894,0.031256
119,10.471824,0.036940
120,11.130947,0.032349
121,11.484910,0.029606
122,11.493881,0.029215
123,11.305121,0.033105
124,10.929709,0.037671
125,10.342340,0.040956
126,10.669814,0.040947
127,10.959604,0.040328
128,10.992775,0.040865
129,10.830291,0.042717
130,10.536844,0.043686
131,10.047711,0.044769
132,10.099396,0.047818
133,10.395093,0.046946
134,10.467884,0.047267
135,10.365898,0.046960
136,10.059582,0.047876
137,9.641859,0.047872
138,9.513218,0.052014
139,9.763546,0.050567
140,9.834143,0.050095
141,9.731644,0.050188
142,9.503607,0.050234
143,9.221204,0.048825
144,12.987499,0.028314
145,13.371373,0.014180
146,13.300626,0.010547
147,13.032360,0.029770
148,12.629074,0.040307
149,11.957135,0.041399
150,13.029177,0.036761
151,13.064263,0.028526
152,12.790276,0.027540
153,12.497304,0.042452
154,12.484617,0.047601
155,12.154470,0.045026
156,12.635869,0.050938
157,12.385686,0.054236
158,11.936828,0.057861
159,11.874981,0.061720
160,12.147403,0.056928
161,12.011641,0.048678
162,11.983690,0.060017
163,12.029149,0.064870
164,11.783913,0.069068
165,11.648072,0.070851
166,11.818211,0.062363
167,11.604556,0.051752
168,11.433027,0.058857
169,11.883728,0.060468
170,11.902947,0.061032
171,11.676050,0.062319
172,11.350408,0.061673
173,10.880372,0.053611
